18pF;4;"C25 C26 C38 C39";c_0603
510pF;1;"C44";c_0603
10nF;2;"C11 C49";c_0603
56nF;1;"C18";c_0603
100nF;28;"C1 C3 C5 C7 C8 C10 C12 C14 C15 C17 C19 C21 C23 C24 C28 C29 C30 C33 C34 C35 C36 C40 C41 C42 C43 C46 C47 C48";c_0603
1uF;1;"C31";c_0603
1uF;1;"C9";c_0805
2.2uF;2;"C20 C22";c_0805
4.7uF;1;"C37";c_0603
4.7uF;3;"C2 C4 C32";c_0805
10uF;3;"C6 C13 C27";c_0805
22uF;1;"C16";c_0805
LED_BLUE_F4;1;"D6";Led_0603
LED_RED_F4;1;"D7";Led_0603
LED_RED;1;"D2";led_2.1x0.6
LED_ORANGE;1;"D3";led_2.1x0.6
LED_BLUE;1;"D4";led_2.1x0.6
LED_GREEN;1;"D5";led_2.1x0.6
CD0603-S01575;1;"D8";r_0603
PMEG6010CEH;1;"D1";~
MBRS130T3G;1;"D9";~
1SMB7.0AT3G;1;"D10";~
DUMMY;5;"G1 G2 G3 G4 G5";~
10uH;1;"L1";r_0805
CONN_1;4;"P19 P20 P21 P22";1pin
MICROUSB;1;"P4";conn_usb_B_micro_smd-FCI
MICROSD;1;"P10";MICRO-SD-SOCKET-PP
CONN_2;1;"P12";picoblade_2-90
CONN_4;6;"P2 P3 P5 P7 P8 P9";picoblade_4-90
CONN_6;2;"P6 P13";picoblade_6-90
CONN_9;1;"P11";picoblade_9-90
CONN_13X3;1;"P1";pin_strip_13x3-90
CONN_1;1;"P18";testpoint_pad
CONN_2;1;"P14";~
PDTC114EE;4;"Q4 Q5 Q6 Q7";sc75
NTA4153NT1G;1;"Q2";~
NTA4151PT1G;1;"Q3";~
22R;2;"R15 R16";r_0603
75R;2;"R68 R69";r_0603
100R;1;"R54";r_0603
120R;1;"R17";r_0805
180R;1;"R52";r_0603
220R;6;"R27 R28 R31 R32 R53 R60";r_0603
330R;3;"R45 R47 R55";r_0603
390R;1;"R70";r_0603
470R;27;"R1 R2 R3 R4 R5 R6 R7 R8 R9 R10 R11 R12 R13 R14 R25 R26 R33 R42 R43 R46 R48 R49 R50 R51 R63 R64 R65";r_0603
620R;1;"R71";r_0603
4.7k;2;"R40 R41";r_0603
4k7;3;"R44 R58 R59";r_0603
12k;1;"R23";r_0603
39k;4;"R34 R36 R37 R38";r_0402
39k;13;"R18 R19 R20 R21 R24 R29 R30 R56 R57 R61 R62 R66 R67";r_0603
82k;1;"R22";r_0603
681k;1;"R39";r_0603
1M;1;"R35";r_0402
STG719;1;"SW1";sot23-6
EVQP7A01K;1;"SW2";~
MICRON N25Q032A13ESC40G;1;"U10";
STM32F303CC;1;"U8";lqfp48
MS5611;1;"U9";MS5611
SN65HVD233;1;"U3";so-8
EL1883;1;"U6";so-8
LTC4411;1;"U2";sot23-5
ADP3338AKCZ-3.3;1;"U4";stabil_sot223_1
STM32F427VIT6;1;"U7";TQFP-100
LT1761-3.3;1;"U5";tsot-5
XBEE;1;"U1";xbee-smt
SN74AHC1G86;1;"U11";~
MAX4090;1;"U12";~
MPU-9250;1;"U13";~
8MHz;2;"X1 X2";crystal_smd_5x3.2mm
